id,gender,car,owns_house,edutp,houtp,age,has_mobilephone,has_phone,inc,inctp,wkphone,email,occyp,year_employed,chldno,famtp,famsize,begin_month,target,statementdate
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[101.3, 99.0[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-5,0,12/9/20
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[101.3, 99.0[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-2,0,12/12/20
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[101.3, 99.0[",Working,0,0,*,"[0.0, 1.9[",0,Civil marriage,2,-10,0,12/4/20
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[101.3, 99.0[",Working,0,0,*,"[0.0, 1.9[",0,Civil marriage,2,-12,0,12/2/20
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[101.3, 99.0[",Working,0,0,*,"[0.0, 1.9[",0,Civil marriage,2,-54,0,12/8/16
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[101.3, 99.0[",Working,0,0,*,"[0.0, 1.9[",0,Civil marriage,2,-54,0,12/8/16
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[101.3, 99.0[",Working,0,0,*,"[0.0, 1.9[",2,Civil marriage,4,-5,0,12/9/20
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[101.3, 99.0[",Working,0,0,*,"[0.0, 1.9[",2,Civil marriage,4,-43,0,12/7/17
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-49,0,12/1/17
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-57,0,12/5/16
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-9,0,12/5/20
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-23,0,12/3/19
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-19,0,12/7/19
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-14,0,12/12/19
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-33,0,12/5/18
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-27,0,12/11/18
*,F,Y,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",1,Civil marriage,3,-18,0,12/8/19
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[123.8, 139.5[",Commercial associate,0,0,*,"[0.0, 1.9[",0,Civil marriage,2,-28,0,12/10/18
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[123.8, 139.5[",Working,0,1,*,"[0.0, 1.9[",1,Civil marriage,3,-4,0,12/10/20
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[123.8, 139.5[",Working,0,1,*,"[0.0, 1.9[",1,Civil marriage,3,0,0,12/2/21
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[123.8, 139.5[",Working,0,1,*,"[0.0, 1.9[",1,Civil marriage,3,-1,0,12/1/21
*,F,N,Y,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,0.0,"[123.8, 139.5[",Working,0,1,*,"[0.0, 1.9[",1,Civil marriage,3,-5,0,12/9/20
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-37,0,12/1/18
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-23,0,12/3/19
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-31,0,12/7/18
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-39,0,12/11/17
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-34,0,12/4/18
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-27,0,12/11/18
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",0,Civil marriage,2,-2,0,12/12/20
*,F,N,N,"{Academic degree, Higher education}","{Co-op apartment, House / apartment}","[21.0, 30.0[",1.0,1.0,"[157.5, 171.3[",Commercial associate,1,0,*,"[0.0, 1.9[",1,Civil marriage,3,-8,0,12/6/20
