id,gender,car,owns_house,edutp,houtp,age,has_mobilephone,has_phone,inc,inctp,wkphone,email,occyp,year_employed,chldno,famtp,famsize,begin_month,target,statementdate
5008898.0,F,N,Y,Secondary / secondary special,Rented apartment,43.0,1.0,0.0,297.0,Commercial associate,0,0,Laborers,8.9,0,Single / not married,1,-31,0,12/7/18
5009042.0,F,N,Y,Higher education,House / apartment,48.0,1.0,0.0,148.5,Working,0,0,Core staff,2.4,0,Married,2,-20,0,12/6/19
5097051.0,F,Y,Y,Secondary / secondary special,House / apartment,36.0,1.0,0.0,81.0,Working,1,0,Core staff,2.1,0,Married,2,-16,0,12/10/19
5009205.0,F,N,N,Secondary / secondary special,House / apartment,57.0,1.0,1.0,292.5,State servant,1,0,Accountants,23.8,0,Married,2,-5,0,12/9/20
5009582.0,F,N,N,Secondary / secondary special,House / apartment,32.0,1.0,0.0,90.0,Working,0,0,Sales staff,1.9,0,Separated,1,-40,0,12/10/17
5009695.0,M,Y,N,Higher education,Municipal apartment,36.0,1.0,1.0,1350.0,Commercial associate,0,1,Managers,4.3,0,Married,2,-6,0,12/8/20
5045398.0,F,N,Y,Secondary / secondary special,House / apartment,31.0,1.0,1.0,126.0,Working,1,0,Cleaning staff,3.3,1,Married,3,-23,0,12/3/19
5010187.0,M,N,N,Secondary / secondary special,House / apartment,46.0,1.0,1.0,247.5,Working,0,0,Laborers,18.0,1,Single / not married,2,-37,0,12/1/18
5045678.0,F,N,Y,Secondary / secondary special,House / apartment,35.0,1.0,0.0,270.0,State servant,0,0,Medicine staff,14.4,1,Civil marriage,3,-56,0,12/6/16
5010492.0,F,Y,N,Higher education,House / apartment,38.0,1.0,0.0,270.0,State servant,0,0,Secretaries,12.8,2,Married,4,-10,0,12/4/20
5010678.0,M,Y,Y,Higher education,House / apartment,28.0,1.0,0.0,292.5,Working,0,0,Managers,6.1,0,Married,2,-33,0,12/5/18
5021500.0,M,Y,Y,Secondary / secondary special,House / apartment,39.0,1.0,0.0,292.5,Working,0,0,Laborers,1.1,4,Married,6,-24,0,12/2/19
5048473.0,M,Y,N,Secondary / secondary special,House / apartment,25.0,1.0,0.0,225.0,Working,0,0,Core staff,0.8,0,Single / not married,1,-22,0,12/4/19
5021881.0,M,Y,N,Secondary / secondary special,House / apartment,36.0,1.0,1.0,112.5,Working,0,0,Laborers,0.6,2,Married,4,-51,0,12/11/16
5021973.0,F,N,N,Secondary / secondary special,House / apartment,32.0,1.0,0.0,103.5,Working,0,0,Sales staff,3.3,1,Married,3,-4,0,12/10/20
5022059.0,F,N,Y,Secondary / secondary special,House / apartment,40.0,1.0,0.0,58.5,Working,0,1,Laborers,13.5,0,Married,2,-5,0,12/9/20
5050627.0,M,Y,N,Secondary / secondary special,House / apartment,36.0,1.0,1.0,315.0,Working,0,0,Drivers,1.4,0,Married,2,-19,0,12/7/19
5050666.0,F,Y,N,Secondary / secondary special,House / apartment,43.0,1.0,0.0,270.0,Working,0,0,Medicine staff,8.3,0,Single / not married,1,-25,0,12/1/19
5023504.0,F,N,N,Secondary / secondary special,Municipal apartment,46.0,1.0,0.0,63.0,Working,0,0,Cleaning staff,12.7,1,Single / not married,2,-27,0,12/11/18
5023675.0,F,N,Y,Secondary / secondary special,House / apartment,45.0,1.0,0.0,90.0,Working,0,0,Cooking staff,4.1,0,Married,2,-3,0,12/11/20
5053468.0,M,N,Y,Secondary / secondary special,House / apartment,51.0,1.0,1.0,112.5,Working,1,0,Low-skill Laborers,5.8,0,Married,2,-18,0,12/8/19
5053720.0,F,Y,Y,Higher education,House / apartment,41.0,1.0,0.0,225.0,Working,0,0,Core staff,4.6,1,Separated,2,-25,0,12/1/19
5053724.0,F,Y,Y,Higher education,House / apartment,41.0,1.0,0.0,225.0,Working,0,0,Core staff,4.6,1,Separated,2,-15,0,12/11/19
5053859.0,M,Y,Y,Secondary / secondary special,House / apartment,30.0,1.0,0.0,121.5,Working,0,0,Laborers,1.7,2,Married,4,-15,0,12/11/19
5024469.0,F,N,Y,Secondary / secondary special,House / apartment,28.0,1.0,0.0,135.0,Commercial associate,0,0,Medicine staff,6.3,2,Married,4,-60,0,12/2/16
5024584.0,F,Y,Y,Secondary / secondary special,House / apartment,34.0,1.0,0.0,315.0,State servant,0,0,Managers,3.3,2,Married,4,-23,0,12/3/19
5054500.0,M,Y,Y,Secondary / secondary special,House / apartment,23.0,1.0,0.0,225.0,Commercial associate,0,0,Laborers,2.2,0,Single / not married,1,-16,0,12/10/19
5056055.0,M,Y,N,Higher education,House / apartment,36.0,1.0,0.0,225.0,State servant,0,0,Managers,8.5,1,Married,3,-22,0,12/4/19
5061609.0,M,Y,Y,Secondary / secondary special,House / apartment,31.0,1.0,1.0,225.0,Working,0,0,Drivers,2.4,1,Married,3,-40,0,12/10/17
5028907.0,F,N,N,Secondary / secondary special,House / apartment,27.0,1.0,0.0,67.5,Working,0,0,Sales staff,5.1,0,Married,2,-8,0,12/6/20
5028919.0,F,Y,Y,Secondary / secondary special,House / apartment,47.0,1.0,0.0,112.5,Working,0,0,Sales staff,4.9,0,Married,2,-19,0,12/7/19
5062656.0,M,Y,Y,Secondary / secondary special,House / apartment,37.0,1.0,0.0,144.0,Working,0,0,Laborers,2.8,1,Married,3,-19,0,12/7/19
5067583.0,M,N,N,Secondary / secondary special,House / apartment,24.0,1.0,0.0,67.5,Working,1,0,Drivers,4.8,1,Civil marriage,3,-2,0,12/12/20
5068310.0,M,N,Y,Incomplete higher,House / apartment,26.0,1.0,0.0,198.0,Commercial associate,0,0,Managers,0.4,1,Single / not married,2,-24,0,12/2/19
5111113.0,M,Y,Y,Higher education,With parents,30.0,1.0,0.0,157.5,Working,0,0,Accountants,2.3,0,Married,2,-7,0,12/7/20
5041064.0,F,N,Y,Secondary / secondary special,House / apartment,48.0,1.0,0.0,103.5,Working,0,0,Sales staff,5.8,0,Single / not married,1,-43,0,12/7/17
5115992.0,M,Y,Y,Higher education,House / apartment,36.0,1.0,0.0,180.0,Working,0,0,Managers,6.8,2,Married,4,-59,0,12/3/16
5079159.0,F,Y,Y,Higher education,House / apartment,35.0,1.0,0.0,157.5,Working,0,0,Core staff,2.1,3,Married,5,-17,0,12/9/19
5085860.0,F,N,Y,Higher education,House / apartment,39.0,1.0,1.0,121.5,State servant,0,0,Medicine staff,3.9,1,Separated,2,-1,0,12/1/21
5088851.0,F,Y,Y,Higher education,House / apartment,31.0,1.0,0.0,112.5,Working,0,1,Accountants,6.3,0,Married,2,-44,0,12/6/17
5088855.0,F,Y,Y,Higher education,House / apartment,31.0,1.0,0.0,112.5,Working,0,1,Accountants,6.3,0,Married,2,-59,0,12/3/16
5117369.0,M,Y,Y,Higher education,House / apartment,50.0,1.0,0.0,135.0,Commercial associate,0,0,Drivers,10.4,0,Single / not married,1,-23,0,12/3/19
5117410.0,F,N,N,Secondary / secondary special,House / apartment,46.0,1.0,0.0,94.5,Working,0,0,Waiters/barmen staff,4.4,0,Married,2,-42,0,12/8/17
5117795.0,F,Y,N,Incomplete higher,House / apartment,26.0,1.0,1.0,162.0,Commercial associate,1,0,Core staff,2.2,2,Married,4,-20,0,12/6/19
5125418.0,M,Y,Y,Secondary / secondary special,House / apartment,32.0,1.0,1.0,130.5,Working,1,0,Laborers,8.0,2,Married,4,-57,0,12/5/16
5090598.0,F,N,Y,Higher education,House / apartment,46.0,1.0,0.0,112.5,State servant,0,0,Secretaries,1.2,0,Married,2,-31,0,12/7/18
5125641.0,M,N,N,Secondary / secondary special,Rented apartment,33.0,1.0,1.0,157.5,Working,1,0,Laborers,9.8,0,Married,2,-11,0,12/3/20
5126064.0,F,N,Y,Higher education,House / apartment,51.0,1.0,0.0,94.5,State servant,1,0,Laborers,5.3,0,Separated,1,-45,0,12/5/17
5091604.0,F,N,Y,Secondary / secondary special,House / apartment,61.0,1.0,0.0,202.5,Working,0,0,Cleaning staff,1.5,0,Married,2,-14,0,12/12/19
5091781.0,F,Y,Y,Secondary / secondary special,House / apartment,35.0,1.0,0.0,180.0,Working,0,0,Laborers,1.3,0,Married,2,-41,0,12/9/17
5126317.0,F,N,N,Secondary / secondary special,House / apartment,49.0,1.0,1.0,270.0,Working,1,0,High skill tech staff,4.7,0,Married,2,-14,0,12/12/19
5091991.0,F,N,N,Higher education,House / apartment,50.0,1.0,0.0,157.5,Working,0,0,Core staff,25.1,0,Married,2,-18,0,12/8/19
5132728.0,F,N,Y,Secondary / secondary special,House / apartment,35.0,1.0,0.0,135.0,Commercial associate,0,0,Sales staff,2.1,3,Married,5,-45,0,12/5/17
